Image,Average_RGB,Average_HEX,Dominant_RGB,Dominant_HEX,Darkest_RGB,Darkest_HEX,Brightest_RGB,Brightest_HEX
W0_Terang.png,"(154, 141, 116, 203)",#9a8d74,"(187, 172, 141)",#bbac8d,"(0, 0, 0, 0)",#000000,"(239, 235, 224, 255)",#efebe0
W1_Terang.png,"(148, 129, 101, 204)",#948165,"(183, 160, 124)",#b7a07c,"(0, 0, 0, 0)",#000000,"(255, 255, 238, 255)",#ffffee
W2_Terang.png,"(148, 129, 97, 205)",#948161,"(178, 153, 114)",#b29972,"(0, 0, 0, 0)",#000000,"(238, 243, 245, 255)",#eef3f5
W3_Terang.png,"(153, 133, 103, 203)",#998567,"(187, 163, 124)",#bba37c,"(0, 0, 0, 0)",#000000,"(255, 255, 241, 246)",#fffff1
W4_Terang.png,"(152, 132, 100, 203)",#988464,"(188, 162, 122)",#bca27a,"(0, 0, 0, 0)",#000000,"(246, 245, 243, 255)",#f6f5f3
W5_Terang.png,"(149, 130, 101, 201)",#958265,"(188, 163, 127)",#bca37f,"(0, 0, 0, 0)",#000000,"(255, 255, 246, 244)",#fffff6
W6_Terang.png,"(146, 127, 96, 200)",#927f60,"(177, 152, 112)",#b19870,"(0, 0, 0, 0)",#000000,"(255, 255, 255, 255)",#ffffff
W7_Terang.png,"(146, 126, 98, 203)",#927e62,"(175, 150, 113)",#af9671,"(0, 0, 0, 0)",#000000,"(244, 243, 241, 255)",#f4f3f1
W8_Terang.png,"(147, 126, 99, 201)",#937e63,"(182, 156, 122)",#b69c7a,"(0, 0, 0, 0)",#000000,"(249, 249, 247, 255)",#f9f9f7
